strategy,stop_config,period,return_pct,buy_hold_pct,max_dd_pct,sharpe,pf,win_rate_pct,trades,stop_exits,signal_exits,time_in_market_pct
10_Supertrend_Bull,trail_low20_b0.5,bull_2016_2017,2636.44,4400.04,-26.92,3.5,3.62,54.37,206,1,205,55.15
10_Supertrend_Bull,trade_low_b0.5,bull_2016_2017,2662.0,4400.04,-26.92,3.51,3.62,54.15,205,0,205,55.15
10_Supertrend_Bull,trade_low_b1,bull_2016_2017,2662.0,4400.04,-26.92,3.51,3.62,54.15,205,0,205,55.15
10_Supertrend_Bull,entry_low_b0.5,bull_2016_2017,338.13,4400.04,-45.93,1.59,1.72,40.14,284,131,153,54.64
10_Supertrend_Bull,entry_low_b1,bull_2016_2017,558.81,4400.04,-42.73,1.94,1.9,46.72,244,78,166,54.9
10_Supertrend_Bull,pivot_b0.5,bull_2016_2017,935.24,4400.04,-40.25,2.36,2.3,52.53,217,35,182,55.08
10_Supertrend_Bull,pivot_b1,bull_2016_2017,1010.61,4400.04,-40.25,2.42,2.36,53.05,213,23,190,55.1
10_Supertrend_Bull,break_low3,bull_2016_2017,343.07,4400.04,-44.98,1.59,1.78,38.24,306,164,142,54.49
10_Supertrend_Bull,break_low5,bull_2016_2017,595.65,4400.04,-44.04,1.99,2.02,44.14,256,101,155,54.82
10_Supertrend_Bull,break_low8,bull_2016_2017,909.0,4400.04,-40.37,2.33,2.31,50.0,226,59,167,55.01
1_EMA_Cross_12_26,sin_SL,bull_2020_2021,216.33,521.21,-38.91,2.07,1.99,37.42,163,0,0,57.99
1_EMA_Cross_12_26,fix_low3_b0.5,bull_2020_2021,92.78,521.21,-49.13,1.28,1.56,33.9,177,51,126,57.71
1_EMA_Cross_12_26,fix_low5_b0.5,bull_2020_2021,107.09,521.21,-48.45,1.39,1.6,34.5,171,35,136,57.85
1_EMA_Cross_12_26,fix_low5_b1,bull_2020_2021,123.69,521.21,-46.97,1.51,1.68,35.33,167,19,148,57.9
1_EMA_Cross_12_26,fix_low8_b0.5,bull_2020_2021,166.53,521.21,-40.11,1.79,1.8,36.36,165,15,150,57.93
1_EMA_Cross_12_26,fix_low10_b0.5,bull_2020_2021,171.55,521.21,-40.11,1.82,1.82,36.36,165,12,153,57.93
1_EMA_Cross_12_26,fix_low20_b0.5,bull_2020_2021,180.86,521.21,-39.59,1.87,1.85,36.36,165,10,155,57.94
1_EMA_Cross_12_26,fix_low50_b0.5,bull_2020_2021,187.71,521.21,-38.91,1.91,1.88,36.36,165,5,160,57.95
1_EMA_Cross_12_26,trail_low3_b0.5,bull_2020_2021,216.33,521.21,-38.91,2.07,1.99,37.42,163,0,163,57.99
1_EMA_Cross_12_26,trail_low5_b0.5,bull_2020_2021,216.33,521.21,-38.91,2.07,1.99,37.42,163,0,163,57.99
1_EMA_Cross_12_26,trail_low8_b0.5,bull_2020_2021,216.33,521.21,-38.91,2.07,1.99,37.42,163,0,163,57.99
1_EMA_Cross_12_26,trail_low10_b0.5,bull_2020_2021,216.33,521.21,-38.91,2.07,1.99,37.42,163,0,163,57.99
1_EMA_Cross_12_26,trail_low20_b0.5,bull_2020_2021,222.39,521.21,-38.91,2.1,1.99,37.42,163,1,162,57.98
1_EMA_Cross_12_26,trade_low_b0.5,bull_2020_2021,216.33,521.21,-38.91,2.07,1.99,37.42,163,0,163,57.99
1_EMA_Cross_12_26,trade_low_b1,bull_2020_2021,216.33,521.21,-38.91,2.07,1.99,37.42,163,0,163,57.99
1_EMA_Cross_12_26,entry_low_b0.5,bull_2020_2021,-6.38,521.21,-67.15,0.21,1.23,25.81,248,147,101,56.84
